token	zipf
die	7.480
Die	7.480
DIE	7.480
der	7.460
Der	7.460
DER	7.460
und	7.420
Und	7.420
UND	7.420
in	7.240
In	7.240
IN	7.240
das	7.160
Das	7.160
DAS	7.160
ich	7.080
ist	7.080
Ich	7.080
Ist	7.080
ICH	7.080
IST	7.080
zu	7.010
nicht	7.010
Zu	7.010
Nicht	7.010
ZU	7.010
NICHT	7.010
den	7.000
Den	7.000
DEN	7.000
von	6.990
Von	6.990
VON	6.990
mit	6.980
Mit	6.980
MIT	6.980
es	6.940
Es	6.940
ES	6.940
eS	6.940
ein	6.910
Ein	6.910
EIN	6.910
auf	6.890
Auf	6.890
AUF	6.890
im	6.860
Im	6.860
IM	6.860
sie	6.820
Sie	6.820
SIE	6.820
eine	6.800
Eine	6.800
EINE	6.800
sich	6.790
Sich	6.790
auch	6.780
Auch	6.780
AUCH	6.780
dem	6.760
Dem	6.760
DEM	6.760
des	6.740
Des	6.740
DES	6.740
er	6.710
als	6.710
Er	6.710
ER	6.710
Als	6.710
an	6.690
so	6.690
An	6.690
dass	6.690
So	6.690
AN	6.690
Dass	6.690
SO	6.690
bei	6.660
Bei	6.660
BEI	6.660
wie	6.650
Wie	6.650
aber	6.630
Aber	6.630
aus	6.600
hat	6.600
sind	6.600
Aus	6.600
Sind	6.600
Hat	6.600
AUS	6.600
nach	6.560
Nach	6.560
NACH	6.560
noch	6.550
Noch	6.550
wir	6.540
Wir	6.540
WIR	6.540
war	6.530
du	6.530
Du	6.530
War	6.530
DU	6.530
nur	6.520
Nur	6.520
wenn	6.510
Wenn	6.510
wird	6.500
oder	6.500
Oder	6.500
Wird	6.500
ODER	6.500
werden	6.490
was	6.490
Was	6.490
Werden	6.490
einen	6.480
Einen	6.480
um	6.460
am	6.460
man	6.460
Um	6.460
Am	6.460
Man	6.460
AM	6.460
UM	6.460
MAN	6.460
haben	6.450
Haben	6.450
einer	6.420
Einer	6.420
zum	6.410
Zum	6.410
kann	6.400
Kann	6.400
da	6.370
Da	6.370
DA	6.370
einem	6.350
dann	6.350
Dann	6.350
Einem	6.350
schon	6.340
Schon	6.340
mehr	6.330
habe	6.330
Ja	6.330
ja	6.330
Mehr	6.330
Habe	6.330
sein	6.320
mir	6.320
Sein	6.320
Mir	6.320
vor	6.310
Vor	6.310
VOR	6.310
mal	6.280
Mal	6.280
zur	6.270
Zur	6.270
ZUR	6.270
durch	6.260
hier	6.260
mich	6.260
Durch	6.260
Hier	6.260
Mich	6.260
bis	6.230
Bis	6.230
ihr	6.220
Ihr	6.220
doch	6.220
Doch	6.220
immer	6.210
jetzt	6.210
Jetzt	6.210
Immer	6.210
diese	6.200
Diese	6.200
wurde	6.190
Wurde	6.190
wieder	6.180
Wieder	6.180
keine	6.160
Keine	6.160
alle	6.150
Alle	6.150
sehr	6.140
Sehr	6.140
muss	6.120
Muss	6.120
uns	6.110
Uns	6.110
unter	6.100
vom	6.100
Unter	6.100
bin	6.100
Vom	6.100
Bin	6.100
UNTER	6.100
VOM	6.100
BIN	6.100
gut	6.090
Gut	6.090
hatte	6.060
ihre	6.060
gibt	6.060
Ihre	6.060
Gibt	6.060
Hatte	6.060
dieser	6.040
Dieser	6.040
gegen	6.030
seine	6.030
Gegen	6.030
Seine	6.030
alles	6.020
Alles	6.020
viel	6.000
geht	6.000
also	6.000
Also	6.000
Viel	6.000
Geht	6.000
Zeit	5.990
zeit	5.990
ZEIT	5.990
ab	5.980
Ab	5.980
ganz	5.980
machen	5.980
AB	5.980
Ganz	5.980
Machen	5.980
denn	5.970
meine	5.970
Denn	5.970
Meine	5.970
dir	5.960
will	5.960
damit	5.960
Dir	5.960
Will	5.960
Damit	5.960
ohne	5.950
weil	5.950
einfach	5.950
Weil	5.950
Ohne	5.950
Einfach	5.950
zwei	5.940
waren	5.940
beim	5.940
etwas	5.940
Zwei	5.940
Waren	5.940
Beim	5.940
Etwas	5.940
WAREN	5.940
mein	5.920
Mein	5.920
soll	5.910
eines	5.910
seit	5.910
kein	5.910
Seit	5.910
Soll	5.910
Kein	5.910
Eines	5.910
wo	5.900
selbst	5.900
Wo	5.900
Selbst	5.900
Menschen	5.890
dich	5.890
Dich	5.890
menschen	5.890
heute	5.880
nun	5.880
kommt	5.880
nichts	5.880
hab	5.880
Nun	5.880
Heute	5.880
Nichts	5.880
Hab	5.880
Kommt	5.880
wer	5.860
Leben	5.860
Wer	5.860
leben	5.860
WER	5.860
macht	5.850
Macht	5.850
Jahr	5.840
ob	5.840
anderen	5.840
ihm	5.840
Deutschland	5.840
jahr	5.840
Ob	5.840
deutschland	5.840
Ihm	5.840
OB	5.840
Anderen	5.840
JAHR	5.840
DEUTSCHLAND	5.840
zwischen	5.830
seiner	5.830
Jahren	5.830
ihn	5.830
viele	5.830
Zwischen	5.830
Viele	5.830
jahren	5.830
Ihn	5.830
Seiner	5.830
Jahre	5.820
jahre	5.820
wurden	5.810
diesem	5.810
dieses	5.810
Dieses	5.810
Diesem	5.810
dabei	5.800
Dabei	5.800
A	5.780
a	5.780
dort	5.780
Dort	5.780
neue	5.770
sondern	5.770
gerade	5.770
Neue	5.770
Gerade	5.770
Sondern	5.770
erst	5.760
ersten	5.760
ihrer	5.760
sollte	5.760
lassen	5.760
Erst	5.760
Ihrer	5.760
Ersten	5.760
Lassen	5.760
Sollte	5.760
weiter	5.750
andere	5.750
hast	5.750
wirklich	5.750
Weiter	5.750
Warum	5.750
warum	5.750
Hast	5.750
Andere	5.750
Wirklich	5.750
weiss	5.750
Weiss	5.750
S	5.740
s	5.740
ihren	5.740
Ihnen	5.740
ihnen	5.740
Ihren	5.740
mann	5.730
Mann	5.730
wohl	5.730
Wohl	5.730
MANN	5.730
drei	5.720
seinen	5.720
vielleicht	5.720
Drei	5.720
Vielleicht	5.720
Seinen	5.720
kommen	5.710
diesen	5.710
dazu	5.710
wollen	5.710
euch	5.710
Dazu	5.710
Euch	5.710
Kommen	5.710
Diesen	5.710
Wollen	5.710
KOMMEN	5.710
sei	5.700
bitte	5.700
Bitte	5.700
Sei	5.700
sowie	5.690
Tag	5.690
tag	5.690
sehen	5.690
Sehen	5.690
ins	5.680
Berlin	5.680
steht	5.680
sagen	5.680
Ins	5.680
Sagen	5.680
berlin	5.680
Steht	5.680
Uhr	5.670
bereits	5.670
ende	5.670
weg	5.670
Ende	5.670
nie	5.670
wegen	5.670
Weg	5.670
uhr	5.670
deutschen	5.670
Deutschen	5.670
Bereits	5.670
Nie	5.670
Wegen	5.670
ENDE	5.670
Stadt	5.660
Welt	5.660
Frau	5.660
stadt	5.660
welt	5.660
einmal	5.660
besser	5.660
frau	5.660
Besser	5.660
Einmal	5.660
WELT	5.660
STADT	5.660
D	5.650
d	5.650
gehen	5.650
gemacht	5.650
genau	5.650
Genau	5.650
Gehen	5.650
gar	5.640
konnte	5.640
Gar	5.640
Danke	5.640
danke	5.640
seinem	5.630
neuen	5.630
unsere	5.630
Leute	5.630
Unsere	5.630
leute	5.630
Neuen	5.630
dies	5.620
the	5.620
etwa	5.620
The	5.620
Dies	5.620
jeder	5.620
Jeder	5.620
Etwa	5.620
THE	5.620
recht	5.610
bist	5.610
Recht	5.610
gute	5.610
Bist	5.610
Gute	5.610
M	5.600
m	5.600
geben	5.600
Kinder	5.600
finden	5.600
werde	5.600
kinder	5.600
Geben	5.600
Finden	5.600
Werde	5.600
teil	5.590
Teil	5.590
gleich	5.590
sagt	5.590
Geld	5.590
lange	5.590
keinen	5.590
Gleich	5.590
geld	5.590
Lange	5.590
TEIL	5.590
Sagt	5.590
GLEICH	5.590
beiden	5.580
allem	5.580
davon	5.580
tun	5.580
fast	5.580
richtig	5.580
eigentlich	5.580
Tun	5.580
Eigentlich	5.580
Fast	5.580
Davon	5.580
Richtig	5.580
de	5.570
Arbeit	5.570
arbeit	5.570
erste	5.570
De	5.570
denen	5.570
Frage	5.570
frage	5.570
sieht	5.570
deutsche	5.570
meiner	5.570
DE	5.570
Deutsche	5.570
Erste	5.570
Sieht	5.570
Meiner	5.570
ARBEIT	5.570
jedoch	5.560
klar	5.560
paar	5.560
deine	5.560
Paar	5.560
Klar	5.560
Deine	5.560
Jedoch	5.560
zusammen	5.550
Zusammen	5.550
liegt	5.550
wissen	5.550
welche	5.550
Wissen	5.550
Welche	5.550
grossen	5.550
grosse	5.550
Grossen	5.550
I	5.540
i	5.540
fall	5.540
gab	5.540
sicher	5.540
einige	5.540
Sicher	5.540
Fall	5.540
kannst	5.540
Einige	5.540
Gab	5.540
Kannst	5.540
E	5.530
e	5.530
kam	5.530
Frauen	5.530
ihrem	5.530
Ihrem	5.530
Kam	5.530
frauen	5.530
worden	5.520
allen	5.520
darauf	5.520
hatten	5.520
letzten	5.520
Nein	5.520
zwar	5.520
vielen	5.520
sogar	5.520
meinen	5.520
nein	5.520
Zwar	5.520
Vielen	5.520
Allen	5.520
Darauf	5.520
Sogar	5.520
Meinen	5.520
Letzten	5.520
U	5.510
u	5.510
art	5.510
Art	5.510
sollen	5.510
allerdings	5.510
schnell	5.510
Allerdings	5.510
Schnell	5.510
ART	5.510
Sollen	5.510
stehen	5.500
wollte	5.500
jeden	5.500
darf	5.500
jemand	5.500
Jeden	5.500
Darf	5.500
Jemand	5.500
Stehen	5.500
spiel	5.490
Spiel	5.490
weitere	5.490
Seite	5.490
wenig	5.490
seite	5.490
ganze	5.490
gerne	5.490
Weitere	5.490
Ganze	5.490
SPIEL	5.490
Wenig	5.490
Gerne	5.490
B	5.480
b	5.480
sagte	5.480
oft	5.480
Liebe	5.480
liebe	5.480
Oft	5.480
heisst	5.480
Land	5.470
land	5.470
statt	5.470
neben	5.470
Fragen	5.470
Neben	5.470
fragen	5.470
Statt	5.470
LAND	5.470
Platz	5.460
platz	5.460
dein	5.460
Dein	5.460
ne	5.450
of	5.450
nehmen	5.450
Geschichte	5.450
besonders	5.450
Ne	5.450
geschichte	5.450
Besonders	5.450
NE	5.450
Nehmen	5.450
Of	5.450
NEHMEN	5.450
hin	5.440
vier	5.440
deren	5.440
Hin	5.440
Vier	5.440
Deren	5.440
unser	5.430
kurz	5.430
gesagt	5.430
Unser	5.430
sonst	5.430
guten	5.430
meinem	5.430
Kurz	5.430
Morgen	5.430
morgen	5.430
Guten	5.430
Sonst	5.430
Euro	5.420
bzw	5.420
weniger	5.420
gesehen	5.420
kleine	5.420
spielen	5.420
bekommen	5.420
Spielen	5.420
Kleine	5.420
Weniger	5.420
EURO	5.420
euro	5.420
C	5.410
c	5.410
haus	5.410
Haus	5.410
Familie	5.410
ging	5.410
sollten	5.410
familie	5.410
Sollten	5.410
N	5.400
n	5.400
je	5.400
bild	5.400
Bild	5.400
weit	5.400
eigenen	5.400
arbeiten	5.400
bleibt	5.400
Arbeiten	5.400
Je	5.400
Weit	5.400
BILD	5.400
Bleibt	5.400
eben	5.390
Polizei	5.390
gewesen	5.390
Minuten	5.390
deshalb	5.390
glaube	5.390
Deshalb	5.390
Eben	5.390
polizei	5.390
minuten	5.390
Glaube	5.390
EBEN	5.390
stellen	5.380
Unternehmen	5.380
musste	5.380
findet	5.380
Tage	5.380
Woche	5.380
beide	5.380
ganzen	5.380
unternehmen	5.380
Stellen	5.380
Online	5.380
online	5.380
leider	5.380
Beide	5.380
woche	5.380
Leider	5.380
tage	5.380
Ganzen	5.380
ONLINE	5.380
Ausserdem	5.380
ausserdem	5.380
Grund	5.370
grund	5.370
Problem	5.370
Namen	5.370
bleiben	5.370
daher	5.370
besten	5.370
kaum	5.370
Daher	5.370
namen	5.370
problem	5.370
Besten	5.370
Kaum	5.370
Bleiben	5.370
neu	5.360
stand	5.360
halt	5.360
Neu	5.360
Stand	5.360
Nacht	5.360
Thema	5.360
